EbN0_dB,BER_simulada,BER_teorica
-2,0.1305706,0.13064448852282923
-1,0.10377705,0.10375909595340634
0,0.0786739,0.07864960352514257
1,0.0562816,0.056281951976541456
2,0.03749925,0.03750612835892598
3,0.02287435,0.02287840756108534
4,0.01246945,0.012500818040737563
5,0.0059717,0.005953867147778661
6,0.00237895,0.0023882907809328075
7,0.0007784,0.0007726748153784444
8,0.00019095,0.00019090777407599314
9,3.35e-05,3.362722841961758e-05
10,3.55e-06,3.872108215522048e-06
11,3e-07,2.6130679535752067e-07
12,0.0,9.006010350628785e-09
